0,1,2,3,4,5,6,7,8,9,10,11
"{'image': 'D_3_M04_OC_DGM_P+_221123_1.tif', 'label': 1, 'volume': 336278.0, 'centroid': (14.968579568095445, 211.68281302969567, 175.61652858646715), 'extent': 0.2255863751137062, 'axis_major': 231.6372732335194, 'bbox': (0, 106, 22, 26, 324, 285)}",,,,,,,,,,,
"{'image': 'B_1_M04_OC_DGG_P+_021123_1.tif', 'label': 1, 'volume': 474385.0, 'centroid': (13.54882848319403, 222.20365525891418, 192.6163074296194), 'extent': 0.2533336537485915, 'axis_major': 184.1498733386578, 'bbox': (0, 125, 43, 30, 366, 302)}","{'image': 'B_1_M04_OC_DGG_P+_021123_1.tif', 'label': 2, 'volume': 3650.0, 'centroid': (22.0, 194.82739726027398, 92.12547945205479), 'extent': 0.5075083426028921, 'axis_major': 115.69048768464208, 'bbox': (22, 136, 64, 23, 252, 126)}","{'image': 'B_1_M04_OC_DGG_P+_021123_1.tif', 'label': 3, 'volume': 17731.0, 'centroid': (31.50843156054368, 365.9091421803621, 147.3061869042919), 'extent': 0.4245929118773946, 'axis_major': 91.91283818274363, 'bbox': (30, 321, 101, 35, 408, 197)}","{'image': 'B_1_M04_OC_DGG_P+_021123_1.tif', 'label': 4, 'volume': 67366.0, 'centroid': (37.56657661134697, 206.34040910845235, 126.18552385476353), 'extent': 0.16319282945736435, 'axis_major': 261.96277838654134, 'bbox': (33, 113, 40, 41, 313, 298)}",,,,,,,,
"{'image': 'F_1_M04_OC_L4_P+_231123_1.tif', 'label': 1, 'volume': 35.0, 'centroid': (0.0, 120.94285714285714, 165.88571428571427), 'extent': 0.5555555555555556, 'axis_major': 9.984327715486623, 'bbox': (0, 118, 162, 1, 125, 171)}","{'image': 'F_1_M04_OC_L4_P+_231123_1.tif', 'label': 2, 'volume': 362007.0, 'centroid': (10.559099685917676, 217.01014345026476, 198.35892952346225), 'extent': 0.23488218485519338, 'axis_major': 206.6160224734631, 'bbox': (0, 107, 97, 26, 384, 311)}",,,,,,,,,,
"{'image': 'C_2_M04_OC_L23_P+_161123_2.tif', 'label': 1, 'volume': 128116.0, 'centroid': (0.5, 243.56790720909177, 202.29609104249275), 'extent': 0.4617791234140715, 'axis_major': 434.19345624047867, 'bbox': (0, 65, 0, 2, 405, 408)}","{'image': 'C_2_M04_OC_L23_P+_161123_2.tif', 'label': 2, 'volume': 236735.0, 'centroid': (11.585435191247598, 214.67496567892368, 221.31738019304285), 'extent': 0.2946224113898845, 'axis_major': 271.9076629092182, 'bbox': (6, 82, 93, 15, 370, 403)}",,,,,,,,,,
"{'image': 'F_1_M04_OC_L4_P+_231123_2.tif', 'label': 1, 'volume': 58166.0, 'centroid': (5.949575353299179, 206.08118144620568, 188.3102155898635), 'extent': 0.2693743342749965, 'axis_major': 119.73344897216458, 'bbox': (0, 142, 128, 11, 293, 258)}",,,,,,,,,,,
"{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 1, 'volume': 258452.0, 'centroid': (2.9912440221008154, 217.48607091452183, 188.01013340968535), 'extent': 0.2234916484208269, 'axis_major': 320.8584482495798, 'bbox': (0, 94, 19, 13, 346, 372)}","{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 2, 'volume': 61.0, 'centroid': (13.0, 372.0163934426229, 32.73770491803279), 'extent': 0.46923076923076923, 'axis_major': 14.084879238458097, 'bbox': (13, 367, 26, 14, 377, 39)}","{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 3, 'volume': 49.0, 'centroid': (14.0, 195.9387755102041, 97.38775510204081), 'extent': 0.5444444444444444, 'axis_major': 12.344628997644383, 'bbox': (14, 191, 94, 15, 201, 103)}","{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 4, 'volume': 30.0, 'centroid': (15.0, 358.8666666666667, 5.666666666666667), 'extent': 0.45454545454545453, 'axis_major': 12.071169409452983, 'bbox': (15, 356, 0, 16, 362, 11)}","{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 5, 'volume': 241171.0, 'centroid': (20.58269443672747, 216.85934046796672, 187.8050885056661), 'extent': 0.3508737982727717, 'axis_major': 307.85527471497295, 'bbox': (16, 79, 27, 24, 345, 350)}",,,,,,,
"{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 1, 'volume': 675978.0, 'centroid': (7.2112317264763055, 207.33224010248856, 238.61102136460062), 'extent': 0.24606832986605948, 'axis_major': 426.88400793785127, 'bbox': (0, 3, 85, 21, 408, 408)}","{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 2, 'volume': 105239.0, 'centroid': (26.542793071009797, 245.8966637843385, 254.69368770132746), 'extent': 0.15366408513223062, 'axis_major': 363.1475734621679, 'bbox': (21, 62, 108, 29, 390, 369)}",,,,,,,,,,
"{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 1, 'volume': 127842.0, 'centroid': (3.780979646751459, 205.01776411507956, 185.8824251810829), 'extent': 0.4093694963015146, 'axis_major': 163.75489116977818, 'bbox': (0, 119, 107, 11, 289, 274)}","{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 2, 'volume': 16.0, 'centroid': (0.0, 206.4375, 56.1875), 'extent': 0.5714285714285714, 'axis_major': 7.984359711335656, 'bbox': (0, 205, 53, 1, 209, 60)}","{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 3, 'volume': 38.0, 'centroid': (11.0, 207.42105263157896, 57.05263157894737), 'extent': 0.5428571428571428, 'axis_major': 12.050294524461373, 'bbox': (11, 205, 52, 12, 212, 62)}","{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 4, 'volume': 13.0, 'centroid': (12.0, 248.3846153846154, 63.23076923076923), 'extent': 0.5416666666666666, 'axis_major': 6.841873408173655, 'bbox': (12, 246, 62, 13, 252, 66)}","{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 5, 'volume': 41.0, 'centroid': (13.0, 210.46341463414635, 85.07317073170732), 'extent': 0.37272727272727274, 'axis_major': 12.19569078438269, 'bbox': (13, 207, 81, 14, 217, 92)}","{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 6, 'volume': 35.0, 'centroid': (14.0, 199.31428571428572, 390.65714285714284), 'extent': 0.5555555555555556, 'axis_major': 10.048238219695131, 'bbox': (14, 195, 388, 15, 204, 395)}","{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 7, 'volume': 24563.0, 'centroid': (18.24744534462403, 207.4141595082034, 182.09693441354884), 'extent': 0.199375, 'axis_major': 137.89001686581946, 'bbox': (15, 129, 107, 20, 289, 261)}",,,,,
"{'image': 'C_1_M04_OC_L23_P+_151123_2.tif', 'label': 1, 'volume': 923304.0, 'centroid': (20.044814059074803, 162.00225277914967, 196.68893993744206), 'extent': 0.212686255155598, 'axis_major': 276.95727156735273, 'bbox': (0, 0, 31, 35, 329, 408)}",,,,,,,,,,,
"{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 1, 'volume': 132419.0, 'centroid': (4.993120322612314, 174.99784774088312, 226.28163632107174), 'extent': 0.19625218047274576, 'axis_major': 245.0904306277556, 'bbox': (0, 75, 124, 13, 294, 361)}","{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 2, 'volume': 1722.0, 'centroid': (0.0, 381.7566782810685, 240.57084785133566), 'extent': 0.4299625468164794, 'axis_major': 100.83546506034625, 'bbox': (0, 363, 193, 1, 408, 282)}","{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 3, 'volume': 8113.0, 'centroid': (13.619869345494886, 381.19635153457415, 247.2843584370763), 'extent': 0.39193236714975843, 'axis_major': 75.9160415607373, 'bbox': (11, 358, 208, 17, 408, 277)}","{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 4, 'volume': 9945.0, 'centroid': (16.807642031171444, 183.25711412770235, 164.17063851181499), 'extent': 0.26522829101770856, 'axis_major': 84.9758739251771, 'bbox': (15, 110, 126, 19, 219, 212)}","{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 5, 'volume': 3607.0, 'centroid': (20.0, 120.18186858885501, 292.46853340726364), 'extent': 0.4715032679738562, 'axis_major': 98.58506256195943, 'bbox': (20, 82, 242, 21, 167, 332)}",,,,,,,
"{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 1, 'volume': 1343.0, 'centroid': (0.0, 18.160833953834697, 204.46612062546538), 'extent': 0.4398951850638716, 'axis_major': 85.58903632983609, 'bbox': (0, 0, 169, 1, 43, 240)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 2, 'volume': 245467.0, 'centroid': (12.209209384560857, 186.4927179620886, 228.13940774116276), 'extent': 0.20339040630520452, 'axis_major': 235.47737675337703, 'bbox': (0, 75, 119, 22, 321, 342)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 3, 'volume': 1410.0, 'centroid': (11.0, 17.745390070921985, 203.9482269503546), 'extent': 0.43304668304668303, 'axis_major': 83.25180791698389, 'bbox': (11, 0, 167, 12, 44, 241)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 4, 'volume': 3279.0, 'centroid': (23.284232997865203, 18.125953034461727, 194.96889295516925), 'extent': 0.40561603166749133, 'axis_major': 86.84766525521684, 'bbox': (23, 0, 149, 25, 47, 235)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 5, 'volume': 51367.0, 'centroid': (27.853933459224795, 194.3043977651021, 235.70665991784608), 'extent': 0.24093339587242027, 'axis_major': 264.165681016661, 'bbox': (25, 71, 126, 30, 279, 331)}",,,,,,,
"{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 1, 'volume': 1208.0, 'centroid': (0.0, 153.30132450331126, 237.3087748344371), 'extent': 0.5202411714039621, 'axis_major': 59.49585946024374, 'bbox': (0, 125, 214, 1, 179, 257)}","{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 2, 'volume': 243265.0, 'centroid': (12.238456004768462, 202.96406388095286, 169.21269397570552), 'extent': 0.2818983189119222, 'axis_major': 416.45681166912493, 'bbox': (9, 25, 0, 16, 352, 377)}","{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 3, 'volume': 114361.0, 'centroid': (25.36917305724854, 162.8783413926076, 220.17589912645045), 'extent': 0.1783671655060009, 'axis_major': 371.6734483596528, 'bbox': (22, 0, 11, 27, 323, 408)}","{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 4, 'volume': 230937.0, 'centroid': (34.68830460255394, 152.4031402503713, 206.5899271229816), 'extent': 0.4229181622397703, 'axis_major': 400.3364133606574, 'bbox': (33, 0, 10, 37, 343, 408)}","{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 5, 'volume': 348461.0, 'centroid': (43.03326914633202, 150.10460568040614, 193.2328868940857), 'extent': 0.4936827042955911, 'axis_major': 416.7680860294912, 'bbox': (41, 0, 0, 46, 346, 408)}",,,,,,,
"{'image': 'B_1_M04_OC_L4_P+_021123_1.tif', 'label': 1, 'volume': 337521.0, 'centroid': (9.219349314561168, 178.5397619703663, 197.18804755852227), 'extent': 0.21986906390463162, 'axis_major': 239.51109934803756, 'bbox': (0, 38, 65, 20, 293, 366)}",,,,,,,,,,,
