,oc,m04
area,"{'stat': 1448.0, 'p_value': 0.0022127174518948916}","{'stat': 992.0, 'p_value': 0.6196572575922759}"
extent,"{'stat': 812.0, 'p_value': 0.05700489165291237}","{'stat': 707.0, 'p_value': 0.006449911428212244}"
surface_area,"{'stat': 1484.0, 'p_value': 0.0008333430219923272}","{'stat': 1110.0, 'p_value': 0.6758206452693942}"
complexity,"{'stat': 1233.0, 'p_value': 0.16771598728532633}","{'stat': 849.0, 'p_value': 0.10651233860202203}"
sphericity,"{'stat': 895.0, 'p_value': 0.2096534395187294}","{'stat': 749.0, 'p_value': 0.016588602057381486}"
major_axis_length,"{'stat': 1598.0, 'p_value': 2.3107099087365453e-05}","{'stat': 1037.0, 'p_value': 0.8850252178413345}"
minor_axis_length,"{'stat': 1368.0, 'p_value': 0.014900726899065438}","{'stat': 1211.0, 'p_value': 0.2271930574944332}"
solidity,"{'stat': 607.0, 'p_value': 0.00045554784236190033}","{'stat': 610.0, 'p_value': 0.0004973688644550645}"
volume_ratio,"{'stat': 567.0, 'p_value': 0.00013439020015031987}","{'stat': 567.0, 'p_value': 0.00013439020015031987}"
