0,1,2,3,4
"{'image': 'B_2_M04_OC_CA1_P+_031123_2.tif', 'label': 1, 'volume': 1978536.0, 'centroid': (22.090441619460044, 192.58994984170113, 268.74849434127054), 'extent': 0.31591875838283195, 'axis_major': 330.39271563753164, 'bbox': (0, 33, 0, 50, 340, 408)}",,,,
"{'image': 'F_1_M04_OC_L23_P+_231123_1.tif', 'label': 1, 'volume': 144605.0, 'centroid': (8.849106185816535, 202.60183257840325, 198.23619515231147), 'extent': 0.35233591119297886, 'axis_major': 122.68417876322575, 'bbox': (0, 124, 119, 18, 275, 270)}",,,,
"{'image': 'B_3_M04_OC_L4_P+_131123_1.tif', 'label': 1, 'volume': 16772.0, 'centroid': (1.8292392082041498, 219.65961125685666, 178.99051991414262), 'extent': 0.34131054131054134, 'axis_major': 107.30950562367697, 'bbox': (0, 190, 110, 6, 253, 240)}","{'image': 'B_3_M04_OC_L4_P+_131123_1.tif', 'label': 2, 'volume': 52264.0, 'centroid': (13.133629266799327, 215.22950788305525, 203.26542170518903), 'extent': 0.3662175134710923, 'axis_major': 130.56573290093263, 'bbox': (9, 164, 121, 18, 265, 278)}",,,
"{'image': 'B_1_M04_OC_DGM_P+_021123_1.tif', 'label': 1, 'volume': 963.0, 'centroid': (0.9470404984423676, 67.61889927310489, 63.15472481827622), 'extent': 0.4938461538461538, 'axis_major': 26.605330773876464, 'bbox': (0, 54, 50, 3, 80, 75)}","{'image': 'B_1_M04_OC_DGM_P+_021123_1.tif', 'label': 2, 'volume': 14393.0, 'centroid': (17.054054054054053, 175.77739178767456, 196.3498923087612), 'extent': 0.1610387576083065, 'axis_major': 130.13280298002385, 'bbox': (13, 134, 142, 21, 218, 275)}","{'image': 'B_1_M04_OC_DGM_P+_021123_1.tif', 'label': 3, 'volume': 31869.0, 'centroid': (29.98063949292416, 235.14248956666353, 279.7513257397471), 'extent': 0.06275957817623254, 'axis_major': 473.35353137891224, 'bbox': (26, 59, 117, 31, 408, 408)}",,
"{'image': 'D_3_M04_OC_DGG_P+_221123_1.tif', 'label': 1, 'volume': 316496.0, 'centroid': (10.760767908599162, 200.37264925939033, 212.88348351953894), 'extent': 0.33878826803682294, 'axis_major': 176.97139160172205, 'bbox': (0, 90, 124, 25, 306, 297)}",,,,
"{'image': 'B_2_M04_OC_DGG_P+_031123_1.tif', 'label': 1, 'volume': 156862.0, 'centroid': (11.343148754956585, 214.51423544261834, 226.65728474710255), 'extent': 0.22095729096236197, 'axis_major': 122.85242164662675, 'bbox': (0, 127, 135, 24, 297, 309)}",,,,
"{'image': 'F_1_M04_OC_L23_P+_231123_2.tif', 'label': 1, 'volume': 46444.0, 'centroid': (2.1103264146068383, 214.6312763758505, 214.99186116613555), 'extent': 0.5854162727673788, 'axis_major': 127.80582976378729, 'bbox': (0, 154, 152, 5, 277, 281)}","{'image': 'F_1_M04_OC_L23_P+_231123_2.tif', 'label': 2, 'volume': 100265.0, 'centroid': (12.335989627487159, 213.7966089861866, 212.69932678402233), 'extent': 0.4225669684249566, 'axis_major': 145.40280160938238, 'bbox': (8, 140, 134, 17, 296, 303)}",,,
"{'image': 'F_2_M04_OC_DGM_P+_231123_1.tif', 'label': 1, 'volume': 32041.0, 'centroid': (1.6835928966012297, 175.07025373739896, 226.38110545863114), 'extent': 0.24191563417819958, 'axis_major': 181.94629180722663, 'bbox': (0, 112, 177, 7, 271, 296)}","{'image': 'F_2_M04_OC_DGM_P+_231123_1.tif', 'label': 2, 'volume': 76629.0, 'centroid': (12.3644834201151, 204.86921400514166, 215.76909525114513), 'extent': 0.357639909830442, 'axis_major': 165.64314266385398, 'bbox': (8, 101, 161, 17, 280, 294)}",,,
"{'image': 'B_4_M04_OC_DGM_P+_131123_1.tif', 'label': 1, 'volume': 456815.0, 'centroid': (13.233737946433457, 216.99234263323228, 163.1830784891039), 'extent': 0.3619139294259321, 'axis_major': 214.5599990565214, 'bbox': (0, 115, 55, 30, 308, 273)}",,,,
"{'image': 'F_1_M04_OC_L1_P+_231123_1.tif', 'label': 1, 'volume': 226971.0, 'centroid': (12.19184829780016, 201.54217058566954, 223.35196566962298), 'extent': 0.21774221400174984, 'axis_major': 168.20184959762364, 'bbox': (0, 133, 101, 28, 297, 328)}",,,,
"{'image': 'B_3_M04_OC_DGM_P+_131123_1.tif', 'label': 1, 'volume': 691249.0, 'centroid': (17.24267521544335, 216.2481927641125, 204.54904961887829), 'extent': 0.2759239123492745, 'axis_major': 219.28660980493612, 'bbox': (0, 97, 103, 42, 353, 336)}",,,,
"{'image': 'A_4_M04_OC_P+_DGM_011123_1.tif', 'label': 1, 'volume': 362382.0, 'centroid': (14.487466264880705, 172.22475454078844, 212.7935962602999), 'extent': 0.3533806871372402, 'axis_major': 184.06019094313226, 'bbox': (0, 90, 108, 28, 258, 326)}",,,,
"{'image': 'C_1_M04_OC_DGM_P+_151123_1.tif', 'label': 1, 'volume': 346711.0, 'centroid': (20.50425859000724, 191.5698002082426, 218.66132600350147), 'extent': 0.30176072274056537, 'axis_major': 166.4019099150649, 'bbox': (0, 112, 135, 40, 279, 307)}","{'image': 'C_1_M04_OC_DGM_P+_151123_1.tif', 'label': 2, 'volume': 20305.0, 'centroid': (43.01836985964048, 234.8485594681113, 224.72711154887958), 'extent': 0.3369341563786008, 'axis_major': 107.12734588470457, 'bbox': (40, 188, 154, 46, 269, 278)}",,,
"{'image': 'C_1_M04_OC_L4_P+_151123_1.tif', 'label': 1, 'volume': 115942.0, 'centroid': (9.081049145262286, 197.25130668782668, 200.49106449776613), 'extent': 0.3538355428599331, 'axis_major': 120.27212180054245, 'bbox': (0, 138, 120, 18, 261, 268)}","{'image': 'C_1_M04_OC_L4_P+_151123_1.tif', 'label': 2, 'volume': 2044.0, 'centroid': (25.0, 190.51859099804307, 198.8077299412916), 'extent': 0.5647969052224371, 'axis_major': 78.10749528101398, 'bbox': (25, 167, 160, 26, 214, 237)}",,,
"{'image': 'F_1_M04_OC_CA1_P+_231123_1.tif', 'label': 1, 'volume': 485050.0, 'centroid': (14.017425007731163, 237.26864034635605, 182.50074012988352), 'extent': 0.37936468830777775, 'axis_major': 183.52531598088643, 'bbox': (0, 150, 72, 33, 339, 277)}",,,,
"{'image': 'B_4_M04_OC_L4_P+_131123_1.tif', 'label': 1, 'volume': 854084.0, 'centroid': (15.239762131125275, 163.12459781473484, 188.90555495712366), 'extent': 0.30034335645351184, 'axis_major': 241.81333691954865, 'bbox': (0, 26, 10, 31, 310, 333)}",,,,
