0,1,2,3,4
"{'image': 'C_2_M04_OC_L23_P+_161123_1.tif', 'label': 1, 'volume': 329101.0, 'centroid': (11.013807311433268, 226.54629126012986, 204.43731255754312), 'extent': 0.3345175074811345, 'axis_major': 180.01643913880068, 'bbox': (0, 127, 88, 24, 310, 312)}",,,,
"{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 1, 'volume': 186180.0, 'centroid': (8.969099795896444, 184.5816091954023, 218.79010634869482), 'extent': 0.29717478052673585, 'axis_major': 146.20406775113082, 'bbox': (0, 77, 134, 20, 256, 309)}","{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 2, 'volume': 11150.0, 'centroid': (24.70340807174888, 310.437668161435, 285.42825112107624), 'extent': 0.3024631076388889, 'axis_major': 112.16297049962654, 'bbox': (23, 267, 236, 27, 363, 332)}","{'image': 'B_1_M04_OC_CA1_P+_021123_1.tif', 'label': 3, 'volume': 17113.0, 'centroid': (27.80424238882721, 179.989072634839, 218.27809267808098), 'extent': 0.32235156720916214, 'axis_major': 173.89810988207094, 'bbox': (27, 98, 139, 29, 256, 307)}",,
"{'image': 'D_4_M04_OC_L1_P+_221123_1.tif', 'label': 1, 'volume': 187473.0, 'centroid': (9.014423410304417, 204.81122081579747, 190.3464872274941), 'extent': 0.39766035974885455, 'axis_major': 147.01211314430108, 'bbox': (0, 136, 116, 20, 278, 282)}",,,,
"{'image': 'C_1_M04_OC_L23_P+_151123_2.tif', 'label': 1, 'volume': 384949.0, 'centroid': (14.919041223642612, 172.45903483318568, 206.43830221665726), 'extent': 0.2708867261992724, 'axis_major': 158.63751618270075, 'bbox': (0, 86, 109, 35, 287, 311)}",,,,
"{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 1, 'volume': 261734.0, 'centroid': (7.2928278328379195, 208.4415131392941, 205.84618352984327), 'extent': 0.207777341160687, 'axis_major': 206.79521125794471, 'bbox': (0, 99, 58, 21, 314, 337)}","{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 2, 'volume': 1549.0, 'centroid': (0.0, 377.44867656552617, 227.1239509360878), 'extent': 0.3227083333333333, 'axis_major': 128.27619727324782, 'bbox': (0, 358, 178, 1, 408, 274)}","{'image': 'D_4_M04_OC_L1_P+_221123_2.tif', 'label': 3, 'volume': 3949.0, 'centroid': (12.000253228665485, 379.85515320334264, 237.27677893137502), 'extent': 0.30115152901700604, 'axis_major': 107.41037647101943, 'bbox': (11, 361, 182, 14, 408, 275)}",,
"{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 1, 'volume': 431.0, 'centroid': (0.0, 17.730858468677493, 201.5290023201856), 'extent': 0.43623481781376516, 'axis_major': 48.88989717506407, 'bbox': (0, 6, 182, 1, 32, 220)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 2, 'volume': 203011.0, 'centroid': (10.324342030727399, 182.60643511927924, 217.78304623887377), 'extent': 0.2789953961382533, 'axis_major': 195.18627874274725, 'bbox': (0, 88, 131, 22, 277, 306)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 3, 'volume': 396.0, 'centroid': (11.0, 17.032828282828284, 200.32828282828282), 'extent': 0.4281081081081081, 'axis_major': 47.34909712781885, 'bbox': (11, 5, 182, 12, 30, 219)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 4, 'volume': 381.0, 'centroid': (22.0, 16.46194225721785, 198.66929133858267), 'extent': 0.4118918918918919, 'axis_major': 44.357914256283735, 'bbox': (22, 4, 181, 23, 29, 218)}","{'image': 'F_2_M04_OC_CA1_P+_231123_1.tif', 'label': 5, 'volume': 22688.0, 'centroid': (27.92163258110014, 193.48950987306065, 227.2924012693935), 'extent': 0.2670433145009416, 'axis_major': 214.15252339678955, 'bbox': (27, 98, 143, 30, 258, 320)}"
"{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 1, 'volume': 1155203.0, 'centroid': (20.361376312215256, 171.91808885537867, 193.3863684564531), 'extent': 0.2959879288892897, 'axis_major': 273.9644345860249, 'bbox': (0, 8, 39, 41, 300, 365)}","{'image': 'C_2_M04_OC_DGG_P+_161123_1.tif', 'label': 2, 'volume': 49678.0, 'centroid': (46.93834292845928, 163.7280486331978, 222.71250855509481), 'extent': 0.23621096276008977, 'axis_major': 195.66863538613023, 'bbox': (44, 85, 91, 50, 223, 345)}",,,
"{'image': 'B_1_M04_OC_L4_P+_021123_1.tif', 'label': 1, 'volume': 72003.0, 'centroid': (2.8442287126925265, 186.67790230962598, 200.12931405635877), 'extent': 0.41137989350275384, 'axis_major': 167.46559769441225, 'bbox': (0, 123, 113, 7, 256, 301)}","{'image': 'B_1_M04_OC_L4_P+_021123_1.tif', 'label': 2, 'volume': 11808.0, 'centroid': (8.667852303523036, 388.4370765582656, 281.0678353658537), 'extent': 0.39709443099273606, 'axis_major': 108.2818875560936, 'bbox': (7, 349, 218, 11, 408, 344)}","{'image': 'B_1_M04_OC_L4_P+_021123_1.tif', 'label': 3, 'volume': 63589.0, 'centroid': (16.320244067370144, 187.90674487725863, 198.3780213558949), 'extent': 0.28605038236617186, 'axis_major': 159.2422915985746, 'bbox': (11, 119, 115, 20, 249, 305)}",,
"{'image': 'B_3_M04_OC_L1_P+_061123_2.tif', 'label': 1, 'volume': 95490.0, 'centroid': (10.71573986804901, 212.43686249869097, 198.4884176353545), 'extent': 0.3862864077669903, 'axis_major': 89.32089670064926, 'bbox': (0, 160, 145, 24, 260, 248)}",,,,
"{'image': 'C_2_M04_OC_L1_P+_161123_3.tif', 'label': 1, 'volume': 202453.0, 'centroid': (10.050964915313678, 195.5003630472258, 210.33415163025492), 'extent': 0.3226651153895193, 'axis_major': 142.55666426763355, 'bbox': (0, 116, 116, 22, 271, 300)}",,,,
"{'image': 'C_1_M04_OC_CA1_P+_151123_1.tif', 'label': 1, 'volume': 107793.0, 'centroid': (9.147003979850268, 154.79597005371406, 221.8425036876235), 'extent': 0.3162383383207182, 'axis_major': 129.5433672971185, 'bbox': (0, 103, 133, 19, 218, 289)}",,,,
"{'image': 'B_3_M04_OC_CA1_P+_131123_1.tif', 'label': 1, 'volume': 122874.0, 'centroid': (9.360230805540635, 182.08607191106336, 199.52446408516042), 'extent': 0.4094366971559954, 'axis_major': 112.33919609127844, 'bbox': (0, 120, 134, 19, 237, 269)}",,,,
"{'image': 'C_2_M04_OC_L1_P+_161123_2.tif', 'label': 1, 'volume': 174841.0, 'centroid': (14.078139566806414, 167.33615685108185, 236.3313696444198), 'extent': 0.2095254187728141, 'axis_major': 181.70082584491593, 'bbox': (0, 82, 151, 27, 235, 353)}",,,,
"{'image': 'D_3_M04_OC_L1_P+_221123_2.tif', 'label': 1, 'volume': 171383.0, 'centroid': (8.375719878867798, 196.8222752548386, 200.5719587123577), 'extent': 0.348470461454002, 'axis_major': 136.73318786865497, 'bbox': (0, 109, 122, 19, 276, 277)}",,,,
"{'image': 'B_1_M04_OC_L23_P+_021123_2.tif', 'label': 1, 'volume': 33146.0, 'centroid': (8.23918421528993, 189.7902310987751, 225.32299523321063), 'extent': 0.268119459004724, 'axis_major': 131.69677571625772, 'bbox': (6, 145, 148, 14, 246, 301)}",,,,
