area_oc,extent_oc,centroid_oc,surface_area_oc,complexity_oc,sphericity_oc,major_axis_length_oc,minor_axis_length_oc,bbox_oc,solidity_oc,Genotype,image_name,volume_ratio,area_m04,extent_m04,centroid_m04,surface_area_m04,complexity_m04,sphericity_m04,major_axis_length_m04,minor_axis_length_m04,bbox_m04,solidity_m04
71348,0.041661119,"(5.846148455457756, 162.44801536132758, 179.39720805068117)",11119.794027238357,6.416305898,0.7481268655676262,286.35804387774584,14.668510828043036,"(1, 1, 1, 18, 277, 366)",0.086631956,APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_CA1_P+_131123_1 - B_3_M04_OC.lif_,0.616639569,43996,0.1700525664811379,"(7.513001181925629, 181.60446404218564, 200.26500136376035)",3984.276378439797,11.042406655842584,1.5126674559767457,111.38873519935456,13.955957902506295,"(2, 130, 83, 17, 228, 259)",0.4141930503384453
41460,0.080886829,"(3.9012059816690785, 222.20024119633382, 182.34114809454897)",3681.390915003192,11.262047676337042,1.573590482188419,168.62137408898826,8.836797473578773,"(1, 103, 11, 10, 329, 263)",0.2010367015628106,APPPS1xFIRE,C_1_M04_OC_C_1_M04_OC_L23_P+_151123_1 - C_1_M04_OC.lif_,0.4439459720212252,18406,0.2265298084970216,"(3.7150929044876673, 224.35167880039117, 187.46609801151797)",2206.4451268369007,8.341925106647151,1.527908235,106.21486897544683,7.908339627587408,"(1, 190, 128, 10, 264, 250)",0.474662816
222329,0.081857296,"(8.149526152683636, 184.1815147821472, 194.01787441134536)",17026.963345767992,13.057466295377871,1.042343829451542,290.91966402904825,23.683823106117817,"(1, 1, 1, 25, 318, 358)",0.1688791019811651,APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_L23_P+_210224_2 - H_3_M04_OC.lif_,0.5769917554615007,128282,0.2999148991882692,"(8.844553405777896, 205.37370792472834, 197.62158369841444)",6857.887461014142,18.70576044434385,1.7936495186596726,140.04427709150931,18.549628438321832,"(2, 124, 128, 23, 276, 262)",0.6198905012491362
286040,0.085592618,"(11.253544958747028, 206.09878688295342, 228.15612501748006)",16058.547904586389,17.812320372896593,1.3073615231313402,298.90757454793163,22.789048355627475,"(2, 1, 17, 23, 408, 408)",0.14023961,APPPS1,B_2_M04_OC_B_2_M04_OC_DGG_P+_031123_1 - B_2_M04_OC.lif_,0.1312683540763529,37548,0.2083916083916084,"(10.712155108128263, 217.68030254607436, 228.56351869606902)",3713.7252042378186,10.110602679259388,1.4601547945001074,86.15847872645817,16.493170438914632,"(4, 170, 177, 22, 261, 287)",0.4101992658626114
52822,0.028299117,"(14.946499564575367, 215.21875354965735, 210.1804361818939)",14799.45660786294,3.569185099129633,0.4600251568277698,373.4116826962938,13.079015649816752,"(1, 87, 48, 20, 407, 355)",0.087424115,APPPS1xFIRE,D_4_M04_OC_D_4_M04_OC_L1_P+_221123_2 - D_4_M04_OC.lif_,1.0722047631668623,56636,0.06536512,"(11.783212091249382, 247.15232361042447, 221.7819584716435)",12883.72841108089,4.395932465581093,0.5535679595029012,342.17103295718186,13.674761201572098,"(1, 131, 128, 18, 408, 312)",0.140011372
89872,0.040309733,"(5.721081093110201, 198.08957183549938, 168.05228547267225)",14193.08844804118,6.332096099380219,0.6836337362213993,379.0173004847137,14.605259669800107,"(1, 47, 1, 17, 408, 387)",0.1008604426448258,APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L4_P+_131123_1 - B_3_M04_OC.lif_,0.2657446145629339,23883,0.045688804,"(5.9879412134154, 212.60323242473726, 183.38571368756018)",9987.196641627468,2.391361746143424,0.4015747915836494,301.7677838,13.046853120506285,"(1, 156, 1, 15, 254, 382)",0.1263463613856148
22161,0.061722928,"(4.362934885609855, 171.046974414512, 174.53264744370742)",5731.882149737948,3.866269302311661,0.6656507737033627,231.72985273435768,9.174412793088392,"(1, 61, 112, 12, 253, 282)",0.1434155433171761,APPPS1xFIRE,B_3_M04_OC_B_3_M04_OC_L1_P+_061123_1 - B_3_M04_OC.lif (default)_,2.540002707,56289,0.1622423215273934,"(12.173746202632842, 200.69482492138783, 205.6178649469701)",6236.228385494424,9.026128698385902,1.1389669837355991,119.40163847268288,17.753910454873093,"(1, 141, 129, 25, 245, 268)",0.406515632
176767,0.144431644,"(19.962560885233103, 223.1261887116939, 228.7086107701098)",16149.208997067022,10.945861189368715,0.9431924818200588,211.3644631503739,31.71517984532776,"(1, 129, 135, 31, 346, 323)",0.2670478751529618,APPPS1xFIRE,H_3_M04_OC_H_3_M04_OC_DGG_P+_210224_1 - H_3_M04_OC.lif_,0.3061827150995378,54123,0.1143108779399837,"(18.30358627570534, 223.2110562976923, 234.06294920828483)",7512.038765224795,7.204835024354456,0.9211157569524996,133.71857030896484,17.718744231799555,"(4, 160, 166, 31, 297, 294)",0.2938481000287751
29664,0.1427032019704433,"(4.881303937432579, 201.41993662351672, 200.9838524811219)",3868.140773,7.668800526923145,1.1980317519171824,114.62542621617212,11.124325410169334,"(1, 147, 148, 17, 259, 264)",0.3050314142047733,APPPS1xFIRE,F_1_M04_OC_F_1_M04_OC_L23_P+_231123_1 - F_1_M04_OC.lif_,1.4681094929881338,43550,0.2981753449043168,"(6.239242250287027, 203.5886796785304, 200.54121699196327)",3268.8836566711984,13.322591004767744,1.8312322729110648,96.90294018,12.197120995812172,"(1, 160, 147, 16, 251, 254)",0.5082214
278952,0.079755922,"(13.671169233416501, 194.92226261148872, 194.47609624594912)",24938.914167087456,11.185410805420725,0.8278650918809767,312.1790531327114,31.91354478950301,"(1, 65, 74, 34, 408, 383)",0.160674326,APPPS1,H_1_M04_OC_H_1_M04_OC_DGG_P+_300124_1 - H_1_M04_OC.lif_,0.3457225615876567,96440,0.08721832,"(14.074844462878474, 191.62223143923683, 194.87702198257983)",9284.655994801047,10.387029961476406,1.095358900699596,161.79013690237946,19.00726492524945,"(2, 125, 97, 29, 344, 284)",0.2614414521874441
