,ID,Genotype,Mean_OC_spread_2D,Non-MX04_OC_volume
43,D_4_M04_OC_D_4_M04_OC_L1_P+_221123_1 - D_4_M04_OC.lif (default)_,APPPS1xFIRE,1.5758115942502189,390.77639999999997
44,B_4_M04_OC_B_4_M04_OC_L1_P+_131123_1 - B_4_M04_OC.lif (default)_,APPPS1xFIRE,4.3131850360734,973.5551999999999
45,B_1_M04_OC_B_1_M04_OC_L1_P+_021123_1 - B_1_M04_OC.lif_,APPPS1,7.232036004091988,1509.6456
46,C_2_M04_OC_C_2_M04_OC_DGG_P+_161123_1 - C_2_M04_OC.lif_,APPPS1,9.767805459143123,25489.3716
47,B_4_M04_OC_B_4_M04_OC_DGG_P+_151123_1 - B_4_M04_OC.lif_,APPPS1xFIRE,9.424860040327552,10366.7364
48,H_1_M04_OC_H_1_M04_OC_L1_P+_110124_2 - H_1_M04_OC.lif_,APPPS1,6.845594421936333,1188.4968
49,H_1_M04_OC_H_1_M04_OC_DGM_P+_300124_1 - H_1_M04_OC.lif_,APPPS1,9.38544618035567,1849.1003999999998
50,F_1_M04_OC_F_1_M04_OC_L4_P+_231123_2 - F_1_M04_OC.lif_,APPPS1xFIRE,8.948109862398125,797.9796
51,H_1_M04_OC_H_1_M04_OC_CA1_P+_300124_2 - H_1_M04_OC.lif_,APPPS1,7.898932257107366,2952.3203999999996
52,F_3_M04_OC_F_3_M04_OC_DGG_P+_201223_1 - F_3_M04_OC_2.lif_,APPPS1,8.86166691435993,9692.9784
53,H_3_M04_OC_H_3_M04_OC_DGM_P+_210224_1 - H_3_M04_OC.lif_,APPPS1xFIRE,7.178021892086128,6153.245999999999
54,H_3_M04_OC_H_3_M04_OC_L23_P+_210224_1 - H_3_M04_OC.lif (default)_,APPPS1xFIRE,9.934350681708334,6253.7184
55,B_1_M04_OC_B_1_M04_OC_DGG_P+_021123_1 - B_1_M04_OC.lif_,APPPS1,12.795874657511986,5508.647999999999
56,C_2_M04_OC_C_2_M04_OC_L23_P+_161123_2 - C_2_M04_OC.lif_,APPPS1,15.095019732673155,2669.0471999999995
57,B_2_M04_OC_B_2_M04_OC_L1_P+_031123_2 - B_2_M04_OC.lif_,APPPS1,10.947981133394741,2555.4851999999996
58,F_1_M04_OC_F_1_M04_OC_CA1_P+_231123_1 - F_1_M04_OC.lif_,APPPS1xFIRE,2.9966732996331347,488.3003999999999
59,B_2_M04_OC_B_2_M04_OC_CA1_P+_031123_2 - B_2_M04_OC.lif_,APPPS1,7.666732705333797,26146.605599999995
